SKU,Name,Type,"Short description",Description,"Regular price",Categories,Images,"Weight (kg)","In stock?",Stock,"Allow customer reviews?"
MBH-FF-001,"Mũ Bảo Hiểm Fullface AGV K1 S Solid Black",simple,"Mũ bảo hiểm fullface AGV K1 S chính hãng, màu đen bóng sang trọng.","AGV K1 S là dòng mũ bảo hiểm fullface thể thao mới nhất của thương hiệu AGV Ý. Thiết kế khí động học cải tiến, kính chắn gió chống trầy cực tốt và lớp lót kháng khuẩn tháo rời vệ sinh dễ dàng. Đạt tiêu chuẩn an toàn ECE 22.06 và DOT quốc tế.",3950000,"Mũ Bảo Hiểm > Mũ Fullface",https://images.unsplash.com/photo-1599819811279-d5ad9cccf838?auto=format&fit=crop&w=800&q=80,1.5,1,10,1
MBH-FF-002,"Mũ Bảo Hiểm Fullface Shoei X-Fifteen White",simple,"Mũ bảo hiểm fullface Shoei X-Fifteen cao cấp, màu trắng tinh tế.","Shoei X-Fifteen là mẫu mũ đua chuyên nghiệp đỉnh cao từ Nhật Bản. Vỏ mũ AIM+ độc quyền siêu nhẹ, hệ thống thông gió tối ưu tối đa ở tốc độ cao. Lớp kính chắn gió CWR-F2R chống đọng sương Pinlock đi kèm. Đạt tiêu chuẩn JIS, SNELL và ECE.",18500000,"Mũ Bảo Hiểm > Mũ Fullface",https://images.unsplash.com/photo-1599819811279-d5ad9cccf838?auto=format&fit=crop&w=800&q=80,1.4,1,5,1
MBH-FF-003,"Mũ Bảo Hiểm Fullface HJC C70 Lantic MC5SF",simple,"Mũ fullface HJC C70 hai kính tiện lợi, tem xe thể thao cá tính.","HJC C70 sở hữu thiết kế hiện đại, vỏ polycarbonate chịu lực cao. Đặc biệt tích hợp sẵn kính râm âm bên trong dễ dàng gạt lên xuống khi đi nắng. Hệ thống khóa Quick Release tháo lắp nhanh chóng.",2400000,"Mũ Bảo Hiểm > Mũ Fullface",https://images.unsplash.com/photo-1599819811279-d5ad9cccf838?auto=format&fit=crop&w=800&q=80,1.6,1,12,1
MBH-FF-004,"Mũ Bảo Hiểm Fullface Royal M139 Đen Nhám",simple,"Mũ bảo hiểm fullface thương hiệu Việt Royal M139, kính âm độc đáo.","Royal M139 đen nhám là sản phẩm thuộc phân khúc phổ thông được ưa chuộng nhất tại Việt Nam. Thiết kế kính âm thời trang, vỏ nhựa ABS nguyên sinh chịu va đập tốt. Kiểu dáng gọn gàng, phù hợp đi phượt hoặc di chuyển hàng ngày.",650000,"Mũ Bảo Hiểm > Mũ Fullface",https://images.unsplash.com/photo-1599819811279-d5ad9cccf838?auto=format&fit=crop&w=800&q=80,1.3,1,25,1
MBH-34-001,"Mũ Bảo Hiểm 3/4 KYT Venom Thần Sấm Thor",simple,"Mũ 3/4 KYT Venom phiên bản giới hạn Marvel Thor cực ngầu.","KYT Venom là dòng mũ 3/4 cao cấp của KYT Indonesia. Thiết kế khí động học xuất sắc, tem sơn 3D sắc nét theo bản quyền Marvel. Kính ngoài chống trầy, có kính mát phụ bên trong tiện lợi khi di chuyển ban ngày.",2200000,"Mũ Bảo Hiểm > Mũ 3/4",https://images.unsplash.com/photo-1575844693280-a420df2e4704?auto=format&fit=crop&w=800&q=80,1.2,1,8,1
MBH-34-002,"Mũ Bảo Hiểm 3/4 Andes 3S111 Đen Mờ",simple,"Mũ bảo hiểm 3/4 Andes chất lượng cao, bền bỉ, sơn đen mờ thời thượng.","Andes 3S111 nổi tiếng với độ bền vượt trội. Vỏ mũ nhựa ABS chuyên dụng, lớp lót kháng khuẩn 3S dễ tháo lắp giặt giũ. Form mũ ôm đầu chắc chắn, kính chắn gió lớn cản bụi cản mưa tốt.",480000,"Mũ Bảo Hiểm > Mũ 3/4",https://images.unsplash.com/photo-1575844693280-a420df2e4704?auto=format&fit=crop&w=800&q=80,1.1,1,30,1
MBH-34-003,"Mũ Bảo Hiểm 3/4 LS2 OF600 Copter Black",simple,"Mũ 3/4 LS2 Copter siêu thông thoáng, kính kép tiện ích.","LS2 OF600 Copter là sự lựa chọn lý tưởng cho việc đi lại trong đô thị. Thiết kế khe gió cực lớn phía trên giúp đầu óc luôn mát mẻ. Kính ngoài chắn bụi rộng, kính mát âm bên dưới bảo vệ mắt khỏi tia UV.",1800000,"Mũ Bảo Hiểm > Mũ 3/4",https://images.unsplash.com/photo-1575844693280-a420df2e4704?auto=format&fit=crop&w=800&q=80,1.25,1,15,1
MBH-34-004,"Mũ Bảo Hiểm 3/4 Bulldog Heli Carbon Gold",simple,"Mũ 3/4 cổ điển Bulldog Heli vỏ sợi carbon siêu nhẹ sang trọng.","Bulldog Heli Carbon là sản phẩm đỉnh cao dành cho người chơi xe classic, cafe racer. Vỏ mũ làm bằng sợi carbon 100% siêu nhẹ, giảm mỏi cổ tối đa khi đi đường dài. Viền mũ mạ vàng đồng óng ánh tạo nét quý tộc.",3500000,"Mũ Bảo Hiểm > Mũ 3/4",https://images.unsplash.com/photo-1575844693280-a420df2e4704?auto=format&fit=crop&w=800&q=80,0.9,1,3,1
MBH-ND-001,"Mũ Bảo Hiểm Nửa Đầu Royal M20C Sơn Nhám",simple,"Mũ bảo hiểm nửa đầu Royal M20C nhỏ gọn, thời trang năng động.","Royal M20C có kiểu dáng nửa đầu cực kỳ trẻ trung và tiện lợi. Vỏ nhựa ABS cứng cáp, khóa đỏ nhập khẩu dễ sử dụng. Phù hợp cho các bạn trẻ đi lại cự ly gần trong thành phố.",320000,"Mũ Bảo Hiểm > Mũ Nửa Đầu",https://images.unsplash.com/photo-1608508060274-1c31754c44d1?auto=format&fit=crop&w=800&q=80,0.7,1,40,1
MBH-ND-002,"Mũ Bảo Hiểm Nửa Đầu Andes 109K Có Kính",simple,"Mũ nửa đầu Andes 109K chất lượng chính hãng, tích hợp kính chắn gió ngắn.","Andes 109K sở hữu kính chắn gió thời trang nửa mặt giúp chống bụi bặm, côn trùng khi đi đường. Thiết kế thanh thoát, màu sơn bóng bền màu, giữ độ mới lâu.",350000,"Mũ Bảo Hiểm > Mũ Nửa Đầu",https://images.unsplash.com/photo-1608508060274-1c31754c44d1?auto=format&fit=crop&w=800&q=80,0.85,1,50,1
MBH-LH-001,"Mũ Bảo Hiểm Lật Hàm LS2 FF906 Advant Carbon",simple,"Mũ lật hàm 180 độ LS2 FF906 Carbon cao cấp, linh hoạt tiện dụng.","LS2 FF906 Advant Carbon là dòng mũ lật hàm xoay 180 độ cao cấp nhất. Vỏ sợi carbon siêu nhẹ và cứng cáp. Khi lật hàm ra sau, mũ biến thành một chiếc 3/4 cân bằng hoàn hảo. Tặng kèm Pinlock chống đọng sương.",12500000,"Mũ Bảo Hiểm > Mũ Lật Hàm",https://images.unsplash.com/photo-1608508060274-1c31754c44d1?auto=format&fit=crop&w=800&q=80,1.65,1,4,1
MBH-LH-002,"Mũ Bảo Hiểm Lật Hàm Yohe 950 Đen Cam",simple,"Mũ bảo hiểm lật hàm Yohe 950 cá tính, hai kính tiện ích giá tốt.","Yohe 950 có phần cằm dễ dàng lật lên góc 90 độ chỉ với một nút nhấn dưới cằm. Thiết kế góc cạnh mạnh mẽ, cản gió tốt, lót mũ kháng khuẩn tháo rời vệ sinh dễ dàng.",2200000,"Mũ Bảo Hiểm > Mũ Lật Hàm",https://images.unsplash.com/photo-1608508060274-1c31754c44d1?auto=format&fit=crop&w=800&q=80,1.6,1,15,1
MBH-FF-005,"Mũ Bảo Hiểm Fullface LS2 FF800 Storm Nerv",simple,"Mũ fullface LS2 FF800 Storm tầm trung, đạt chuẩn quốc tế.","LS2 FF800 Storm là dòng mũ bảo hiểm fullface 2 kính được làm bằng chất liệu hỗn hợp KPA độc quyền, mang lại độ an toàn cực cao và trọng lượng vô cùng tối ưu.",2900000,"Mũ Bảo Hiểm > Mũ Fullface",https://images.unsplash.com/photo-1599819811279-d5ad9cccf838?auto=format&fit=crop&w=800&q=80,1.45,1,18,1
MBH-FF-006,"Mũ Bảo Hiểm Fullface MT Helmets Thunder 4 SV",simple,"Mũ fullface MT Thunder 4 SV tem thể thao, tiêu chuẩn ECE 22.06.","MT Helmets Thunder 4 SV đến từ Tây Ban Nha, sử dụng công nghệ vỏ HIRP cao cấp. Tích hợp kính râm chống nắng tốt và hệ thống tháo lót khẩn cấp an toàn.",3200000,"Mũ Bảo Hiểm > Mũ Fullface",https://images.unsplash.com/photo-1599819811279-d5ad9cccf838?auto=format&fit=crop&w=800&q=80,1.5,1,10,1
MBH-34-005,"Mũ Bảo Hiểm 3/4 Zeus ZS-613B Đen Nhám",simple,"Mũ 3/4 Zeus ZS-613B đa năng, hàm rời tiện dụng.","Zeus ZS-613B có thể tháo lắp phần hàm để biến thành mũ fullface hoặc 3/4 linh hoạt. Thiết kế tinh xảo, kính chắn cản tia UV tối đa.",1650000,"Mũ Bảo Hiểm > Mũ 3/4",https://images.unsplash.com/photo-1575844693280-a420df2e4704?auto=format&fit=crop&w=800&q=80,1.3,1,14,1
MBH-34-006,"Mũ Bảo Hiểm 3/4 Givi M30.3 Siena",simple,"Mũ 3/4 Givi Siena thời trang phong cách Ý trẻ trung.","Givi M30.3 Siena là sản phẩm của thương hiệu Givi danh tiếng. Thiết kế nhỏ nhắn ôm gọn đầu, lót nỉ mịn êm ái, màu sơn bắt mắt.",1150000,"Mũ Bảo Hiểm > Mũ 3/4",https://images.unsplash.com/photo-1575844693280-a420df2e4704?auto=format&fit=crop&w=800&q=80,1.15,1,20,1
MBH-ND-003,"Mũ Bảo Hiểm Nửa Đầu Chita CT33 Trơn",simple,"Mũ nửa đầu Chita CT33 trơn, gọn nhẹ và bền bỉ.","Chita CT33 là sản phẩm mũ bảo hiểm nửa đầu quốc dân tại Việt Nam. Trọng lượng siêu nhẹ, dây quai chắc chắn, đệm êm, tiện mang đi học, đi làm.",180000,"Mũ Bảo Hiểm > Mũ Nửa Đầu",https://images.unsplash.com/photo-1608508060274-1c31754c44d1?auto=format&fit=crop&w=800&q=80,0.6,1,100,1
MBH-ND-004,"Mũ Bảo Hiểm Nửa Đầu Napoly N08 Kính Phi Công",simple,"Mũ nửa đầu Napoly N08 kèm kính phi công thời trang.","Napoly N08 là lựa chọn hàng đầu cho các cặp đối đi dạo phố. Đi kèm kính phi công gắn ngoài cực cool ngầu, đệm da ốp tai sang trọng.",260000,"Mũ Bảo Hiểm > Mũ Nửa Đầu",https://images.unsplash.com/photo-1608508060274-1c31754c44d1?auto=format&fit=crop&w=800&q=80,0.75,1,35,1
MBH-LH-003,"Mũ Bảo Hiểm Lật Hàm Givi X.21 Challenger",simple,"Mũ lật hàm Givi X.21 tiện lợi, màu sắc bắt mắt.","Givi X.21 Challenger có hàm lật lên mượt mà, kính ngoài phủ chống xước và kính râm bên trong chống chói. Đạt chứng chỉ an toàn ECE châu Âu.",4500000,"Mũ Bảo Hiểm > Mũ Lật Hàm",https://images.unsplash.com/photo-1608508060274-1c31754c44d1?auto=format&fit=crop&w=800&q=80,1.55,1,6,1
